Month,Day,Hour,Consumption_kWh
1,1,0,0.229
1,1,1,0.2035
1,1,2,0.1982
1,1,3,0.1967
1,1,4,0.2168
1,1,5,0.2575
1,1,6,0.3081
1,1,7,0.4247
1,1,8,0.4026
1,1,9,0.3541
1,1,10,0.3328
1,1,11,0.3433
1,1,12,0.3317
1,1,13,0.3177
1,1,14,0.3362
1,1,15,0.3602
1,1,16,0.3878
1,1,17,0.4836
1,1,18,0.5417
1,1,19,0.5758
1,1,20,0.563
1,1,21,0.479
1,1,22,0.4303
1,1,23,0.3056
1,2,0,0.2561
1,2,1,0.2167
1,2,2,0.2087
1,2,3,0.2119
1,2,4,0.2178
1,2,5,0.2542
1,2,6,0.3159
1,2,7,0.4523
1,2,8,0.4135
1,2,9,0.3519
1,2,10,0.3418
1,2,11,0.3335
1,2,12,0.3396
1,2,13,0.3639
1,2,14,0.3671
1,2,15,0.4018
1,2,16,0.4197
1,2,17,0.4879
1,2,18,0.5737
1,2,19,0.5943
1,2,20,0.59
1,2,21,0.5175
1,2,22,0.4343
1,2,23,0.3408
1,3,0,0.2274
1,3,1,0.2147
1,3,2,0.187
1,3,3,0.1891
1,3,4,0.2031
1,3,5,0.2506
1,3,6,0.3222
1,3,7,0.4368
1,3,8,0.3759
1,3,9,0.3578
1,3,10,0.3239
1,3,11,0.3159
1,3,12,0.3438
1,3,13,0.3462
1,3,14,0.3402
1,3,15,0.386
1,3,16,0.4206
1,3,17,0.4577
1,3,18,0.5407
1,3,19,0.567
1,3,20,0.5464
1,3,21,0.4863
1,3,22,0.4212
1,3,23,0.2986
1,4,0,0.2398
1,4,1,0.2158
1,4,2,0.205
1,4,3,0.2022
1,4,4,0.2189
1,4,5,0.2556
1,4,6,0.3119
1,4,7,0.4604
1,4,8,0.3885
1,4,9,0.3678
1,4,10,0.3398
1,4,11,0.3409
1,4,12,0.3522
1,4,13,0.3263
1,4,14,0.379
1,4,15,0.3875
1,4,16,0.4142
1,4,17,0.4921
1,4,18,0.5586
1,4,19,0.6126
1,4,20,0.5881
1,4,21,0.5115
1,4,22,0.4268
1,4,23,0.3291
1,5,0,0.2274
1,5,1,0.2172
1,5,2,0.1979
1,5,3,0.1902
1,5,4,0.2254
1,5,5,0.2429
1,5,6,0.3277
1,5,7,0.4099
1,5,8,0.3756
1,5,9,0.3503
1,5,10,0.341
1,5,11,0.3334
1,5,12,0.3242
1,5,13,0.3197
1,5,14,0.358
1,5,15,0.3905
1,5,16,0.3986
1,5,17,0.4689
1,5,18,0.5173
1,5,19,0.5494
