Month,Day,Hour,SMP
1,1,0,106.93
1,1,1,98.24
1,1,2,96.53
1,1,3,98.4
1,1,4,100.41
1,1,5,104.22
1,1,6,119.86
1,1,7,128.23
1,1,8,141.87
1,1,9,147.81
1,1,10,146.42
1,1,11,140.13
1,1,12,135.8
1,1,13,128.26
1,1,14,130.04
1,1,15,134.81
1,1,16,147.93
1,1,17,155.56
1,1,18,157.58
1,1,19,147.66
1,1,20,140.96
1,1,21,138.24
1,1,22,122.7
1,1,23,112.89
1,2,0,100.88
1,2,1,97.66
1,2,2,94.43
1,2,3,91.7
1,2,4,95.14
1,2,5,103.09
1,2,6,113.7
1,2,7,127.37
1,2,8,136.28
1,2,9,141.62
1,2,10,141.68
1,2,11,136.69
1,2,12,134.23
1,2,13,124.75
1,2,14,124.93
1,2,15,132.3
1,2,16,141.28
1,2,17,149.97
1,2,18,148.71
1,2,19,141.69
1,2,20,136.12
1,2,21,129.13
1,2,22,120.4
1,2,23,108.66
1,3,0,95.92
1,3,1,93.01
1,3,2,88.24
1,3,3,88.98
1,3,4,92.58
1,3,5,96.19
1,3,6,110.63
1,3,7,120.52
1,3,8,134.07
1,3,9,136.15
1,3,10,139.53
1,3,11,130.48
1,3,12,128.42
1,3,13,118.77
1,3,14,119.87
1,3,15,124.22
1,3,16,139.23
1,3,17,145.43
1,3,18,142.59
1,3,19,135.56
1,3,20,134.01
1,3,21,127.31
1,3,22,116.57
1,3,23,101.83
1,4,0,104.49
1,4,1,97.33
1,4,2,96.46
1,4,3,95.18
1,4,4,98.91
1,4,5,103.88
1,4,6,114.26
1,4,7,128.02
1,4,8,137.76
1,4,9,143.83
1,4,10,144.75
1,4,11,140.69
1,4,12,136.19
1,4,13,129.19
1,4,14,127.72
1,4,15,132.84
1,4,16,143.62
1,4,17,149.61
1,4,18,154.52
1,4,19,148.5
1,4,20,139.03
1,4,21,132.45
1,4,22,121.24
1,4,23,110.92
1,5,0,99.42
1,5,1,93.22
1,5,2,91.97
1,5,3,91.19
1,5,4,92.2
1,5,5,98.91
1,5,6,110.7
1,5,7,121.21
1,5,8,131.59
1,5,9,138.65
1,5,10,137.07
1,5,11,134.84
1,5,12,127.02
1,5,13,123.18
1,5,14,121.37
1,5,15,125.82
1,5,16,137.55
1,5,17,146.08
1,5,18,143.6
1,5,19,140.28
1,5,20,133.7
1,5,21,126.79
1,5,22,115.06
1,5,23,105.89
1,6,0,104.72
1,6,1,97.02
1,6,2,96.23
1,6,3,94.92
1,6,4,96.33
1,6,5,103.74
1,6,6,113.85
1,6,7,129.54
1,6,8,140.78
1,6,9,148.63
1,6,10,146.44
1,6,11,140.04
1,6,12,134.65
1,6,13,127.83
1,6,14,127.72
1,6,15,134.6
1,6,16,148.15
1,6,17,150.15
1,6,18,152.23
1,6,19,149.22
1,6,20,138.28
1,6,21,132.64
1,6,22,124.68
1,6,23,107.96
1,7,0,107.55
1,7,1,99.04
1,7,2,98.04
1,7,3,99.74
1,7,4,101.02
1,7,5,108.2
1,7,6,118.83
